sio2,au_shell,spectrum_max_peak,sca_abs,distance,em,qe,fe
20,50,623,5.00519,4,4.37595,0.67709116,12.96557692
20,50,623,5.00519,6,4.74279,1.629234665,36.64809739
20,50,623,5.00519,8,4.61307,2.231400488,47.48512803
20,50,623,5.00519,10,4.40044,2.543966665,49.26104536
20,50,623,5.00519,12,4.17509,2.707552414,47.19636554
20,50,623,5.00519,14,3.95585,2.774300963,43.41434003
20,50,623,5.00519,16,3.74954,2.792734861,39.26319964
20,50,623,5.00519,18,3.55835,2.824273038,35.76053491
20,50,623,5.00519,20,3.3824,2.780788179,31.813968
20,50,623,5.00519,30,2.69511,2.576852403,18.71727127
20,62,646,10.28824,4,4.41178,0.651319125,12.67714698
20,62,646,10.28824,6,4.22488,1.614988101,28.8269094
20,62,646,10.28824,8,4.03812,2.245062467,36.6089161
20,62,646,10.28824,10,3.84738,2.576295518,38.13518381
20,62,646,10.28824,12,3.66067,2.722072546,36.47714636
20,62,646,10.28824,14,3.48301,2.825151192,34.27292238
20,62,646,10.28824,16,3.31646,2.848464378,31.32999459
20,62,646,10.28824,18,3.16145,2.857414912,28.5591937
20,62,646,10.28824,20,3.01756,2.828891911,25.75895155
20,62,646,10.28824,30,2.43753,2.613162343,15.52624125
20,72,680,17.33432,4,3.60382,0.522786976,6.789705572
20,72,680,17.33432,6,3.46459,1.385564492,16.63146247
20,72,680,17.33432,8,3.32739,2.029488872,22.46953518
20,72,680,17.33432,10,3.18469,2.36351413,23.97135212
20,72,680,17.33432,12,3.04231,2.559376916,23.6886973
20,72,680,17.33432,14,2.90454,2.639760939,22.26995409
20,72,680,17.33432,16,2.77359,2.701167499,20.77954536
20,72,680,17.33432,18,2.65027,2.665889007,18.72502063
20,72,680,17.33432,20,2.53464,2.688726188,17.27345233
20,72,680,17.33432,30,2.05795,2.486385883,10.53023757
20,82,717,23.85794,4,2.85915,0.394421664,3.224294047
20,82,717,23.85794,6,2.77084,1.115568542,8.564838063
20,82,717,23.85794,8,2.66938,1.738780276,12.38983463
20,82,717,23.85794,10,2.56201,2.101500839,13.79403136
20,82,717,23.85794,12,2.45408,2.3262576,14.00990651
20,82,717,23.85794,14,2.34892,2.44166077,13.47168058
20,82,717,23.85794,16,2.24825,2.493674315,12.60459617
20,82,717,23.85794,18,2.15283,2.474177618,11.46701412
20,82,717,23.85794,20,2.06283,2.453994464,10.44240315
20,82,717,23.85794,30,1.68651,2.212301131,6.292483459
20,90,771,28.96505,4,2.43208,0.331956896,1.963529399
20,90,771,28.96505,6,2.35772,0.974474501,5.416951339
20,90,771,28.96505,8,2.27306,1.553401157,8.026115838
20,90,771,28.96505,10,2.18428,1.933562668,9.225180469
20,90,771,28.96505,12,2.09536,2.152366916,9.450039113
20,90,771,28.96505,14,2.00877,2.256985717,9.107291517
20,90,771,28.96505,16,1.92582,2.24280835,8.318088748
20,90,771,28.96505,18,1.8471,2.339439199,7.981648149
20,90,771,28.96505,20,1.77273,2.324486547,7.304865532
20,90,771,28.96505,30,1.46045,2.092796345,4.463755047
40,42,625,4.76575,4,4.7861,0.691534751,15.84081587
40,42,625,4.76575,6,4.65529,1.667880387,36.14584506
40,42,625,4.76575,8,4.43983,2.28678731,45.07735825
40,42,625,4.76575,10,4.21144,2.584550548,45.84017489
40,42,625,4.76575,12,3.98927,2.742398807,43.64328913
40,42,625,4.76575,14,3.78021,2.81903083,40.28391573
40,42,625,4.76575,16,3.5865,2.846865929,36.61918591
40,42,625,4.76575,18,3.40822,2.855364902,33.16781468
40,42,625,4.76575,20,3.24454,2.800335325,29.47924146
40,42,625,4.76575,30,2.60359,2.561951348,17.36665064
40,52,646,10.02412,4,4.4214,0.653474973,12.77463714
40,52,646,10.02412,6,4.23251,1.615049997,28.93223321
40,52,646,10.02412,8,4.0448,2.251100352,36.82891805
40,52,646,10.02412,10,3.85326,2.579418869,38.29821217
40,52,646,10.02412,12,3.66583,2.719914007,36.55104649
40,52,646,10.02412,14,3.48749,2.810494336,34.18288047
40,52,646,10.02412,16,3.32034,2.853328684,31.45697209
40,52,646,10.02412,18,3.16477,2.852678487,28.57176919
40,52,646,10.02412,20,3.02037,2.812199187,25.65466655
40,52,646,10.02412,30,2.43829,2.583340246,15.35862459
40,62,680,17.12955,4,3.60314,0.524163644,6.80501628
40,62,680,17.12955,6,3.4638,1.393876535,16.72360584
40,62,680,17.12955,8,3.32649,2.024812571,22.40563583
40,62,680,17.12955,10,3.18369,2.365808713,23.97955799
40,62,680,17.12955,12,3.04121,2.56104631,23.68701044
40,62,680,17.12955,14,2.90336,2.642455543,22.27457712
40,62,680,17.12955,16,2.77233,2.692677927,20.69542071
40,62,680,17.12955,18,2.64893,2.710332335,19.01794163
40,62,680,17.12955,20,2.53324,2.697380642,17.30991401
40,62,680,17.12955,30,2.05627,2.456401072,10.38626878
40,72,717,23.74016,4,2.85819,0.394967798,3.226590713
40,72,717,23.74016,6,2.76985,1.115984695,8.561911605
40,72,717,23.74016,8,2.66837,1.722772446,12.26648171
40,72,717,23.74016,10,2.56099,2.113378143,13.86094936
40,72,717,23.74016,12,2.45306,2.323609244,13.98232644
40,72,717,23.74016,14,2.34788,2.402177718,13.24210195
40,72,717,23.74016,16,2.24721,2.464849732,12.44737477
40,72,717,23.74016,18,2.15179,2.463661278,11.40724495
40,72,717,23.74016,20,2.06179,2.482681627,10.55382499
40,72,717,23.74016,30,1.68547,2.284005016,6.488422282
40,80,771,28.89199,4,2.43152,0.331860082,1.962052881
40,80,771,28.89199,6,2.35714,0.978578936,5.437091213
40,80,771,28.89199,8,2.27248,1.557686374,8.044150001
40,80,771,28.89199,10,2.1837,1.94008346,9.251376623
40,80,771,28.89199,12,2.09478,2.147507829,9.423486083
40,80,771,28.89199,14,2.00819,2.261935908,9.121996376
40,80,771,28.89199,16,1.92525,2.299312618,8.522603554
40,80,771,28.89199,18,1.84652,2.334583467,7.960080093
40,80,771,28.89199,20,1.77216,2.303052973,7.232855468
40,80,771,28.89199,30,1.45989,2.094387964,4.463724693
60,32,635,5.01256,4,4.96764,0.732468419,18.07545071
60,32,635,5.01256,6,4.82605,1.717713363,40.00684729
60,32,635,5.01256,8,4.59805,2.31724639,48.99137103
60,32,635,5.01256,10,4.35715,2.623453509,49.80562506
60,32,635,5.01256,12,4.12306,2.760203839,46.92242678
60,32,635,5.01256,14,3.90289,2.837346758,43.22002735
60,32,635,5.01256,16,3.69894,2.867291091,39.23072723
60,32,635,5.01256,18,3.51126,2.856854643,35.22200887
60,32,635,5.01256,20,3.33896,2.851042573,31.78528685
60,32,635,5.01256,30,2.66435,2.630601859,18.67401368
60,42,646,9.24272,4,4.45069,0.664668394,13.16617793
60,42,646,9.24272,6,4.25979,1.639997414,29.75908287
60,42,646,9.24272,8,4.06948,2.254620463,37.33801976
60,42,646,9.24272,10,3.87527,2.568154539,38.56781954
60,42,646,9.24272,12,3.68525,2.718452672,36.9194894
60,42,646,9.24272,14,3.50449,2.825931464,34.70653643
60,42,646,9.24272,16,3.33508,2.846926939,31.66568111
60,42,646,9.24272,18,3.17741,2.818081297,28.45116365
60,42,646,9.24272,20,3.03107,2.858811232,26.26500042
60,42,646,9.24272,30,2.44121,2.589605935,15.43277279
60,52,680,16.46955,4,3.60115,0.524713149,6.804627732
60,52,680,16.46955,6,3.46138,1.396290051,16.72916264
60,52,680,16.46955,8,3.32362,2.023787875,22.35567138
60,52,680,16.46955,10,3.18039,2.359812386,23.86922041
60,52,680,16.46955,12,3.03753,2.546167075,23.49243585
60,52,680,16.46955,14,2.89932,2.639890403,22.19106778
60,52,680,16.46955,16,2.76796,2.662116967,20.39608217
60,52,680,16.46955,18,2.64425,2.670587953,18.67290603
60,52,680,16.46955,20,2.52827,2.676574905,17.10906612
60,52,680,16.46955,30,2.05015,2.488645978,10.46006529
60,62,717,23.32076,4,2.85484,0.394797812,3.21764616
60,62,717,23.32076,6,2.76636,1.114066092,8.525666668
60,62,717,23.32076,8,2.66479,1.727784891,12.26918322
60,62,717,23.32076,10,2.55735,2.103640285,13.75788955
60,62,717,23.32076,12,2.44937,2.321548144,13.92792704
60,62,717,23.32076,14,2.34417,2.414184721,13.2662661
60,62,717,23.32076,16,2.24347,2.458937256,12.37621884
60,62,717,23.32076,18,2.14802,2.466198726,11.37901606
60,62,717,23.32076,20,2.058,2.430105825,10.29238273
60,62,717,23.32076,30,1.68162,2.253534312,6.372647595
60,70,771,28.62585,4,2.42953,0.33209209,1.96021209
60,70,771,28.62585,6,2.3551,0.974861409,5.407064915
60,70,771,28.62585,8,2.2704,1.549337147,7.986393228
