mode count,mode index,gap width,ring width,overall size,height,wavelength,E,Q
2,0,2,15,90,50,672,42.6,9.96622
2,1,2,15,90,50,1038,21.2,19.72893
2,0,2.9333,15,90,50,621,28.4,7.21109
2,1,2.9333,15,90,50,911,14.4,16.6616
2,0,3.8666,15,90,50,611,26.4,8.38106
2,1,3.8666,15,90,50,849,31.6,18.9721
2,0,4.7999,15,90,50,592,25.9,9.17587
2,1,4.7999,15,90,50,820,36.5,17.27978
2,0,5.7332,15,90,50,582,28.8,9.61086
2,1,5.7332,15,90,50,794,40.4,15.20507
2,0,6.6665,15,90,50,578,27.5,10.65136
2,1,6.6665,15,90,50,786,44.6,14.1704
2,0,7.5998,15,90,50,560,27,9.87064
2,1,7.5998,15,90,50,777,46.1,12.84263
2,0,8.5331,15,90,50,552,25.3,10.30176
2,1,8.5331,15,90,50,769,46.7,12.16526
2,0,9.4664,15,90,50,544,23,11.17575
2,1,9.4664,15,90,50,762,46.4,11.59225
1,0,10.3997,15,90,50,762,47.3,11.24722
1,0,11.333,15,90,50,762,47.7,11.05622
1,0,12.2663,15,90,50,762,47.9,10.86051
1,0,13.1996,15,90,50,754,47.3,11.24722
1,0,14.1329,15,90,50,754,47.5,10.57198
1,0,15.0662,15,90,50,754,47.6,9.96689
1,0,15.9995,15,90,50,754,47.7,10.20265
1,0,2,3,90,50,1247.9,24.9,12.18094
1,0,2,4,90,50,1116,30.8,14.12518
1,0,2,5,90,50,1038,34.7,14.78426
1,0,2,6,90,50,983,37,15.10937
1,0,2,7,90,50,946,38.7,15.44689
1,0,2,8,90,50,911,38.2,15.68135
1,0,2,9,90,50,889,37.6,15.96426
1,0,2,10,90,50,879,36.8,16.61389
1,0,2,11,90,50,868,32.9,17.03615
1,0,2,12,90,50,868,27.3,17.61934
1,0,2,13,90,50,889,24.5,18.92456
1,0,2,15,90,50,1038,21.2,19.72893
1,0,2,15,88,50,1024,23.8,18.53409
1,0,2,15,86,50,997,23.1,18.30765
1,0,2,15,84,50,983,23.9,17.24556
1,0,2,15,82,50,958,21.2,18.1947
1,0,2,15,80,50,946,20.8,17.67335
1,0,2,15,60,50,754,20.6,18.18846
1,0,2,15,58,50,724,30.1,19.87663
1,0,2,15,56,50,704,36.5,22.61218
1,0,2,15,54,50,684,41.3,21.42807
1,0,2,15,90,10,643,54.3,18.77905
1,0,2,15,90,20,777,71.2,18.60147
1,0,2,15,90,30,889,54.9,17.30613
2,0,2,15,90,40,983,39.8,16.65858
2,1,2,15,90,40,621,36.2,9.181
2,0,2,15,90,50,1038,21.2,20.30841
2,1,2,15,90,50,672,42.6,9.85837
1,0,2,15,90,60,717,44.9,11.28687
1,0,2,15,90,70,762,43.7,11.02164
2,0,2,15,90,80,803,41.3,10.78005
2,1,2,15,90,80,1169,31.2,16.31639
2,0,2,15,90,90,839,40.4,12.91436
2,1,2,15,90,90,1207,40.6,14.50858
2,0,2,15,90,100,868,40.8,20.20072
2,1,2,15,90,100,1227,48.1,12.43229
2,0,2,15,90,110,900,38.1,23.66082
2,1,2,15,90,110,1269,45,10.48812
1,0,2,15,90,120,1291,43.5,6.78258
2,0,2,15,90,130,578,18.3,17.78666
2,1,2,15,90,130,1314,39.3,4.0708
2,0,2,15,90,140,592,22,16.97109
2,1,2,15,90,140,1133.6,48.7,8.71294
2,0,2,15,90,150,606,24.9,16.05324
2,1,2,15,90,150,1151,48.8,8.6486
2,0,2,15,90,160,621,26.5,15.30941
2,1,2,15,90,160,1151,48.2,8.20725
2,0,2,15,90,170,637,27.8,14.34576
2,1,2,15,90,170,1169,48.9,7.53049
2,0,2,15,90,180,654,28.3,13.57239
2,1,2,15,90,180,1169,48.2,7.91465
2,0,2,15,90,190,672,28.3,12.83608
2,1,2,15,90,190,1169,47.5,8.2902
2,0,2,15,90,200,691,27.7,12.15662
2,1,2,15,90,200,1169,46.5,8.62333
