mode count,mode index,ring width,overall size,height,peak resonance wavelength,E,Q
1,0,3,90,50,1188,38.7,12.17763
1,0,4,90,50,1068,44.7,13.18801
1,0,5,90,50,997,48.1,13.09945
1,0,6,90,50,934,49.9,12.7741
1,0,7,90,50,900,50.9,12.19198
1,0,8,90,50,858,50.8,11.71947
1,0,9,90,50,839,51,11.28568
1,0,10,90,50,811,50.2,10.71751
1,0,11,90,50,794,49.7,10.52485
1,0,12,90,50,786,49.5,10.19281
1,0,13,90,50,769,48.8,9.81823
1,0,14,90,50,762,48.3,9.60897
1,0,15,90,50,754,47.7,9.2836
1,0,15,90,50,754,47.7,9.33733
1,0,15,88,50,724,43.6,9.48996
1,0,15,86,50,697,40.3,9.7002
1,0,15,84,50,678,37.9,9.8518
1,0,15,82,50,660,35.4,9.85464
1,0,15,80,50,648,33.9,10.15776
1,0,15,78,50,632,31.8,10.29629
1,0,15,76,50,621,30.4,10.61927
1,0,15,74,50,611,29,10.64727
1,0,15,72,50,601,27.6,10.81059
1,0,15,70,50,596,27.2,11.17671
1,0,15,68,50,587,25.8,11.01836
1,0,15,66,50,582,25.4,11.61631
1,0,15,64,50,573,23.8,11.31226
1,0,15,62,50,569,23.3,11.55611
1,0,15,60,50,560,21.6,11.81961
1,0,15,58,50,556,20.9,12.22111
1,0,15,56,50,552,20.1,12.54249
1,0,15,54,50,548,19.3,11.71058
1,0,15,90,20,578,22.6,16.50356
1,0,15,90,30,632,42.1,15.56373
1,0,15,90,40,691,49.1,12.24429
1,0,15,90,50,754,47.7,9.44309
1,0,15,90,60,811,44.1,7.34603
1,0,15,90,70,879,40.9,5.94158
1,0,15,90,80,946,38.3,5.12339
1,0,15,90,90,1024,36.3,4.50562
1,0,15,90,100,1100,34.6,4.23851
1,0,15,90,110,1169,33.2,4.2111
1,0,15,90,120,1248,32.2,4.54801
2,0,15,90,130,1338,31.3,5.41006
2,1,15,90,130,637,12,23.83472
1,0,15,90,140,660,16.9,23.45633
1,0,15,90,150,678,20.9,22.48669
1,0,15,90,160,697,24.9,21.61631
1,0,15,90,170,717,27.8,20.50974
1,0,15,90,180,739,29.8,19.31005
1,0,15,90,190,754,31.8,17.55339
1,0,15,90,200,777,32.4,16.90652
