,20,25,30,35,40,45,50,55,60,65,70,75,80
50,1.04968,1.10454,1.17029,1.24671,1.33296,1.33176,1.62489,1.59656,1.40849,1.40342,1.09491,0.87305,0.74099
40,1.08718,1.17081,1.27306,1.4098,1.57867,1.61737,2.10616,2.17097,1.98551,2.07547,1.66854,1.40072,1.26788
30,1.16223,1.30142,1.46945,1.7318,2.07236,2.19819,3.05299,3.34275,3.21073,3.48998,2.87052,2.56016,2.44788
20,1.33733,1.60648,1.91654,2.50149,3.27929,3.62225,5.26404,6.17378,6.2869,6.92663,5.68312,5.3798,5.33564
18,1.39757,1.71332,2.07271,2.77789,3.71807,4.13752,6.04157,7.17951,7.40629,8.13778,6.64526,6.36074,6.34415
16,1.47164,1.84694,2.26888,3.12791,4.276,4.78988,7.01736,8.43873,8.82619,9.6455,7.82892,7.57251,7.59581
14,1.563,2.01609,2.51965,3.57728,4.99424,5.62449,8.25982,10.02799,10.64874,11.53567,9.29756,9.07847,9.16503
12,1.67573,2.23329,2.84664,4.16246,5.92971,6.70235,9.86858,12.04638,13.01528,13.91894,11.1359,10.95921,11.15533
10,1.81417,2.51679,3.28302,4.93604,7.16007,8.10387,11.99244,14.61678,16.1195,16.93454,13.45569,13.31381,13.71354
8,1.98159,2.89422,3.88125,5.97602,8.78713,9.92849,14.86072,17.87759,20.21438,20.75632,16.39626,16.25614,17.05013
6,2.17737,3.40882,4.72797,7.40319,10.93301,12.2783,18.83638,21.94098,25.59803,25.62719,20.0998,19.89829,21.46969
4,2.38974,4.12943,5.97582,9.41674,13.71495,15.18022,24.50458,26.75351,32.60833,32.1209,24.59466,24.3122,27.45142
2,2.58287,5.15799,7.93532,12.36205,17.21735,18.25092,32.80345,31.68902,42.62275,43.2989,29.39732,29.66197,36.27111
