Distance,Diameter,Scattering,Spectral,Sca/Abs ratio,EM,QE/QE0,Purcell factor,Radiative rate,FE
50,20,1.21E-17,51.75262,0.023390797,1.04968,1.036498072,1.06302,1.04303,1.087991296
40,20,1.21E-17,51.75262,0.023390797,1.08718,1.055296036,1.18633,1.07496,1.147296744
30,20,1.21E-17,51.75262,0.023390797,1.16223,1.099344168,1.41685,1.14517,1.277690773
20,20,1.21E-17,51.75262,0.023390797,1.33733,1.200792544,2.23874,1.34954,1.605855893
18,20,1.21E-17,51.75262,0.023390797,1.39757,1.230197368,2.6569,1.43403,1.719286935
16,20,1.21E-17,51.75262,0.023390797,1.47164,1.228002542,3.60657,1.54809,1.80717766
14,20,1.21E-17,51.75262,0.023390797,1.563,1.213251901,5.10243,1.71098,1.896312721
12,20,1.21E-17,51.75262,0.023390797,1.67573,1.141601227,8.07804,1.94963,1.913015424
10,20,1.21E-17,51.75262,0.023390797,1.81417,0.99732972,14.2036,2.31416,1.809325658
8,20,1.21E-17,51.75262,0.023390797,1.98159,0.778506633,28.3691,2.90921,1.542680959
6,20,1.21E-17,51.75262,0.023390797,2.17737,0.536027926,64.281,3.92807,1.167131126
4,20,1.21E-17,51.75262,0.023390797,2.38974,0.264763721,209.753,5.79178,0.632716454
2,20,1.21E-17,51.75262,0.023390797,2.58287,0.005341374,19099,10.2063,0.013796074
50,25,2.98E-17,50.67554,0.067997336,1.10454,1.067834425,1.13574,1.08233,1.179465836
40,25,2.98E-17,50.67554,0.067997336,1.17081,1.113151112,1.24182,1.14007,1.303288453
30,25,2.98E-17,50.67554,0.067997336,1.30142,1.203722123,1.4608,1.25919,1.566548046
20,25,2.98E-17,50.67554,0.067997336,1.60648,1.391824758,2.44749,1.59329,2.235938637
18,25,2.98E-17,50.67554,0.067997336,1.71332,1.447869889,2.92027,1.7259,2.480664438
16,25,2.98E-17,50.67554,0.067997336,1.84694,1.48911028,3.78684,1.9041,2.75029734
14,25,2.98E-17,50.67554,0.067997336,2.01609,1.527836253,5.08469,2.15191,3.080255392
12,25,2.98E-17,50.67554,0.067997336,2.23329,1.541278277,7.26268,2.50653,3.442121364
10,25,2.98E-17,50.67554,0.067997336,2.51679,1.47683643,11.5396,3.03336,3.716887159
8,25,2.98E-17,50.67554,0.067997336,2.89422,1.268756053,21.3355,3.84884,3.672059144
6,25,2.98E-17,50.67554,0.067997336,3.40882,0.88921854,49.0615,5.16293,3.031185943
4,25,2.98E-17,50.67554,0.067997336,4.12943,0.365094616,192.398,7.35293,1.507632662
2,25,2.98E-17,50.67554,0.067997336,5.15799,0.006643714,18922.2,12.5774,0.034268212
50,30,1.03E-16,53.04311,0.149267567,1.17029,1.104009707,1.18496,1.12443,1.292011519
40,30,1.03E-16,53.04311,0.149267567,1.27306,1.164602113,1.34396,1.20466,1.482608366
30,30,1.03E-16,53.04311,0.149267567,1.46945,1.289805284,1.65091,1.37376,1.895304375
20,30,1.03E-16,53.04311,0.149267567,1.91654,1.542363084,2.79651,1.81945,2.956000545
18,30,1.03E-16,53.04311,0.149267567,2.07271,1.607876406,3.40058,1.99386,3.332661505
16,30,1.03E-16,53.04311,0.149267567,2.26888,1.683917748,4.22718,2.22735,3.820607301
14,30,1.03E-16,53.04311,0.149267567,2.51965,1.746541293,5.55385,2.54189,4.400672769
12,30,1.03E-16,53.04311,0.149267567,2.84664,1.741090682,8.11187,2.97933,4.956258379
10,30,1.03E-16,53.04311,0.149267567,3.28302,1.666099872,12.701,3.6156,5.469839202
8,30,1.03E-16,53.04311,0.149267567,3.88125,1.447363833,22.5431,4.56544,5.617580875
6,30,1.03E-16,53.04311,0.149267567,4.72797,1.067009778,47.6735,6.04712,5.044790221
4,30,1.03E-16,53.04311,0.149267567,5.97582,0.47502109,167.894,8.40283,2.838640532
2,30,1.03E-16,53.04311,0.149267567,7.93532,0.005585496,23794.8,13.2956,0.044322696
50,35,2.80E-16,54.34993,0.190152781,1.24671,1.162304359,1.2326,1.18934,1.449056467
40,35,2.80E-16,54.34993,0.190152781,1.4098,1.256342325,1.41435,1.3084,1.77119141
30,35,2.80E-16,54.34993,0.190152781,1.7318,1.430576234,1.83682,1.55029,2.477471921
20,35,2.80E-16,54.34993,0.190152781,2.50149,1.78932649,3.14435,2.17302,4.475982321
18,35,2.80E-16,54.34993,0.190152781,2.77789,1.879619119,3.82712,2.41101,5.221375156
16,35,2.80E-16,54.34993,0.190152781,3.12791,1.977314413,4.76645,2.72206,6.184861525
14,35,2.80E-16,54.34993,0.190152781,3.57728,2.059933256,6.23428,3.13816,7.368958037
12,35,2.80E-16,54.34993,0.190152781,4.16246,2.092481208,8.73636,3.7113,8.709869329
10,35,2.80E-16,54.34993,0.190152781,4.93604,2.023510065,13.3538,4.52332,9.988126622
8,35,2.80E-16,54.34993,0.190152781,5.97602,1.786896869,22.9186,5.70353,10.67853143
6,35,2.80E-16,54.34993,0.190152781,7.40319,1.331961824,47.0113,7.46049,9.860766457
4,35,2.80E-16,54.34993,0.190152781,9.41674,0.571322845,167.466,10.0819,5.379998686
2,35,2.80E-16,54.34993,0.190152781,12.36205,0.006330909,24338.2,15.414,0.078263016
50,40,7.82E-16,53.44149,0.260786268,1.33296,1.202128361,1.37493,1.2472,1.60238902
40,40,7.82E-16,53.44149,0.260786268,1.57867,1.329003514,1.52977,1.39941,2.098057977
30,40,7.82E-16,53.44149,0.260786268,2.07236,1.54902317,2.01579,1.70637,3.210133656
20,40,7.82E-16,53.44149,0.260786268,3.27929,1.968650159,3.57933,2.47643,6.455774779
18,40,7.82E-16,53.44149,0.260786268,3.71807,2.08198139,4.28643,2.76621,7.740952547
16,40,7.82E-16,53.44149,0.260786268,4.276,2.195324521,5.30399,3.14019,9.387207653
14,40,7.82E-16,53.44149,0.260786268,4.99424,2.292113339,6.87199,3.63804,11.44736412
12,40,7.82E-16,53.44149,0.260786268,5.92971,2.332169613,9.47237,4.30807,13.82908948
10,40,7.82E-16,53.44149,0.260786268,7.16007,2.256140328,14.2256,5.24001,16.15412268
8,40,7.82E-16,53.44149,0.260786268,8.78713,2.011476946,23.6429,6.56603,17.67510942
6,40,7.82E-16,53.44149,0.260786268,10.93301,1.527948981,46.5138,8.48223,16.70508149
4,40,7.82E-16,53.44149,0.260786268,13.71495,0.653837035,161.397,11.1412,8.967342242
2,40,7.82E-16,53.44149,0.260786268,17.21735,0.006476258,19701.7,12.7652,0.111504
50,45,1.36E-15,54.5332,0.286971697,1.33176,1.297229455,1.46307,1.3573,1.727598299
40,45,1.36E-15,54.5332,0.286971697,1.61737,1.458937998,1.75906,1.56968,2.35964255
30,45,1.36E-15,54.5332,0.286971697,2.19819,1.755680542,2.35913,1.9943,3.85931941
20,45,1.36E-15,54.5332,0.286971697,3.62225,2.281878891,4.25398,3.0244,8.265535812
18,45,1.36E-15,54.5332,0.286971697,4.13752,2.435683922,4.95452,3.39888,10.07769094
16,45,1.36E-15,54.5332,0.286971697,4.78988,2.568412434,6.09594,3.87726,12.30238735
14,45,1.36E-15,54.5332,0.286971697,5.62449,2.663949694,7.88399,4.49781,14.98335842
12,45,1.36E-15,54.5332,0.286971697,6.70235,2.728739069,10.5043,5.32222,18.2889643
10,45,1.36E-15,54.5332,0.286971697,8.10387,2.646193477,15.3323,6.4388,21.44440793
8,45,1.36E-15,54.5332,0.286971697,9.92849,2.386802031,24.42,7.97669,23.69734009
6,45,1.36E-15,54.5332,0.286971697,12.2783,1.823889627,46.5061,10.1237,22.394264
4,45,1.36E-15,54.5332,0.286971697,15.18022,0.768742235,159.794,12.9759,11.66967626
2,45,1.36E-15,54.5332,0.286971697,18.25092,0.006876707,20010.4,13.7668,0.125506223
50,50,3.86E-15,54.24204,0.777185664,1.62489,1.360563482,1.5585,1.43655,2.210765996
40,50,3.86E-15,54.24204,0.777185664,2.10616,1.566944762,1.82208,1.69576,3.300236379
30,50,3.86E-15,54.24204,0.777185664,3.05299,1.902484372,2.594,2.20574,5.808265762
20,50,3.86E-15,54.24204,0.777185664,5.26404,2.502950357,4.65088,3.41675,13.1756308
