distance,spectra_overlap,sca_abs,em,fe
50,51.75262,0.023390797,1.04968,1.087991296
40,51.75262,0.023390797,1.08718,1.147296744
30,51.75262,0.023390797,1.16223,1.277690773
20,51.75262,0.023390797,1.33733,1.605855893
18,51.75262,0.023390797,1.39757,1.719286935
16,51.75262,0.023390797,1.47164,1.80717766
14,51.75262,0.023390797,1.563,1.896312721
12,51.75262,0.023390797,1.67573,1.913015424
10,51.75262,0.023390797,1.81417,1.809325658
8,51.75262,0.023390797,1.98159,1.542680959
6,51.75262,0.023390797,2.17737,1.167131126
4,51.75262,0.023390797,2.38974,0.632716454
2,51.75262,0.023390797,2.58287,0.013796074
50,50.67554,0.067997336,1.10454,1.179465836
40,50.67554,0.067997336,1.17081,1.303288453
30,50.67554,0.067997336,1.30142,1.566548046
20,50.67554,0.067997336,1.60648,2.235938637
18,50.67554,0.067997336,1.71332,2.480664438
16,50.67554,0.067997336,1.84694,2.75029734
14,50.67554,0.067997336,2.01609,3.080255392
12,50.67554,0.067997336,2.23329,3.442121364
10,50.67554,0.067997336,2.51679,3.716887159
8,50.67554,0.067997336,2.89422,3.672059144
6,50.67554,0.067997336,3.40882,3.031185943
4,50.67554,0.067997336,4.12943,1.507632662
2,50.67554,0.067997336,5.15799,0.034268212
50,53.04311,0.149267567,1.17029,1.292011519
40,53.04311,0.149267567,1.27306,1.482608366
30,53.04311,0.149267567,1.46945,1.895304375
20,53.04311,0.149267567,1.91654,2.956000545
18,53.04311,0.149267567,2.07271,3.332661505
16,53.04311,0.149267567,2.26888,3.820607301
14,53.04311,0.149267567,2.51965,4.400672769
12,53.04311,0.149267567,2.84664,4.956258379
10,53.04311,0.149267567,3.28302,5.469839202
8,53.04311,0.149267567,3.88125,5.617580875
6,53.04311,0.149267567,4.72797,5.044790221
4,53.04311,0.149267567,5.97582,2.838640532
2,53.04311,0.149267567,7.93532,0.044322696
50,54.34993,0.190152781,1.24671,1.449056467
40,54.34993,0.190152781,1.4098,1.77119141
30,54.34993,0.190152781,1.7318,2.477471921
20,54.34993,0.190152781,2.50149,4.475982321
18,54.34993,0.190152781,2.77789,5.221375156
16,54.34993,0.190152781,3.12791,6.184861525
14,54.34993,0.190152781,3.57728,7.368958037
12,54.34993,0.190152781,4.16246,8.709869329
10,54.34993,0.190152781,4.93604,9.988126622
8,54.34993,0.190152781,5.97602,10.67853143
6,54.34993,0.190152781,7.40319,9.860766457
4,54.34993,0.190152781,9.41674,5.379998686
2,54.34993,0.190152781,12.36205,0.078263016
50,53.44149,0.260786268,1.33296,1.60238902
40,53.44149,0.260786268,1.57867,2.098057977
30,53.44149,0.260786268,2.07236,3.210133656
20,53.44149,0.260786268,3.27929,6.455774779
18,53.44149,0.260786268,3.71807,7.740952547
16,53.44149,0.260786268,4.276,9.387207653
14,53.44149,0.260786268,4.99424,11.44736412
12,53.44149,0.260786268,5.92971,13.82908948
10,53.44149,0.260786268,7.16007,16.15412268
8,53.44149,0.260786268,8.78713,17.67510942
6,53.44149,0.260786268,10.93301,16.70508149
4,53.44149,0.260786268,13.71495,8.967342242
2,53.44149,0.260786268,17.21735,0.111504
50,54.5332,0.286971697,1.33176,1.727598299
40,54.5332,0.286971697,1.61737,2.35964255
30,54.5332,0.286971697,2.19819,3.85931941
20,54.5332,0.286971697,3.62225,8.265535812
18,54.5332,0.286971697,4.13752,10.07769094
16,54.5332,0.286971697,4.78988,12.30238735
14,54.5332,0.286971697,5.62449,14.98335842
12,54.5332,0.286971697,6.70235,18.2889643
10,54.5332,0.286971697,8.10387,21.44440793
8,54.5332,0.286971697,9.92849,23.69734009
6,54.5332,0.286971697,12.2783,22.394264
4,54.5332,0.286971697,15.18022,11.66967626
2,54.5332,0.286971697,18.25092,0.125506223
50,54.24204,0.777185664,1.62489,2.210765996
40,54.24204,0.777185664,2.10616,3.300236379
30,54.24204,0.777185664,3.05299,5.808265762
20,54.24204,0.777185664,5.26404,13.1756308
18,54.24204,0.777185664,6.04157,16.07638565
16,54.24204,0.777185664,7.01736,19.72925572
14,54.24204,0.777185664,8.25982,24.2854671
12,54.24204,0.777185664,9.86858,29.57545613
10,54.24204,0.777185664,11.99244,35.27091204
8,54.24204,0.777185664,14.86072,39.73139596
6,54.24204,0.777185664,18.83638,39.03243003
4,54.24204,0.777185664,24.50458,21.16422561
2,54.24204,0.777185664,32.80345,0.248410983
50,62.69458,0.833875749,1.59656,2.363711739
40,62.69458,0.833875749,2.17097,3.747386116
30,62.69458,0.833875749,3.34275,7.254043207
20,62.69458,0.833875749,6.17378,17.64106003
18,62.69458,0.833875749,7.17951,21.60505552
16,62.69458,0.833875749,8.43873,26.83472826
14,62.69458,0.833875749,10.02799,33.02641532
12,62.69458,0.833875749,12.04638,40.39768907
10,62.69458,0.833875749,14.61678,48.03001421
8,62.69458,0.833875749,17.87759,53.91836151
6,62.69458,0.833875749,21.94098,52.23653526
4,62.69458,0.833875749,26.75351,26.62118783
2,62.69458,0.833875749,31.68902,0.250913923
50,62.23411,0.824519473,1.40849,2.201344784
40,62.23411,0.824519473,1.98551,3.680012238
30,62.23411,0.824519473,3.21073,7.484805317
20,62.23411,0.824519473,6.2869,19.53300805
18,62.23411,0.824519473,7.40629,24.27654418
16,62.23411,0.824519473,8.82619,30.4341025
14,62.23411,0.824519473,10.64874,38.13307015
12,62.23411,0.824519473,13.01528,47.34995081
10,62.23411,0.824519473,16.1195,57.63515246
8,62.23411,0.824519473,20.21438,66.8233066
6,62.23411,0.824519473,25.59803,66.83977916
4,62.23411,0.824519473,32.60833,35.47538639
2,62.23411,0.824519473,42.62275,0.353445022
50,71.47749,1.217029566,1.40342,2.387973676
40,71.47749,1.217029566,2.07547,4.273881737
30,71.47749,1.217029566,3.48998,9.15499896
20,71.47749,1.217029566,6.92663,24.18631169
18,71.47749,1.217029566,8.13778,29.91771791
16,71.47749,1.217029566,9.6455,37.2426559
14,71.47749,1.217029566,11.53567,45.99107972
