distance,diameter,abs,sca,plasmon,fe
50,20,0.977,0.0229,55.0,1.087991296
40,20,0.977,0.0229,55.0,1.147296744
30,20,0.977,0.0229,55.0,1.277690773
20,20,0.977,0.0229,55.0,1.605855893
18,20,0.977,0.0229,55.0,1.719286935
16,20,0.977,0.0229,55.0,1.80717766
14,20,0.977,0.0229,55.0,1.896312721
12,20,0.977,0.0229,55.0,1.913015424
10,20,0.977,0.0229,55.0,1.809325658
8,20,0.977,0.0229,55.0,1.542680959
6,20,0.977,0.0229,55.0,1.167131126
4,20,0.977,0.0229,55.0,0.632716454
2,20,0.977,0.0229,55.0,0.013796074
50,25,0.936,0.0637,50.0,1.163533297
40,25,0.936,0.0637,50.0,1.290997037
30,25,0.936,0.0637,50.0,1.54088664
20,25,0.936,0.0637,50.0,2.115602665
18,25,0.936,0.0637,50.0,2.335439762
16,25,0.936,0.0637,50.0,2.593631223
14,25,0.936,0.0637,50.0,2.799616652
12,25,0.936,0.0637,50.0,3.051185631
10,25,0.936,0.0637,50.0,3.171215532
8,25,0.936,0.0637,50.0,2.657428404
6,25,0.936,0.0637,50.0,1.508924743
4,25,0.936,0.0637,50.0,0.368065603
2,25,0.936,0.0637,50.0,0.031861884
50,30,0.87,0.13,45.0,1.292011519
40,30,0.87,0.13,45.0,1.482608366
30,30,0.87,0.13,45.0,1.895304375
20,30,0.87,0.13,45.0,2.956000545
18,30,0.87,0.13,45.0,3.332661505
16,30,0.87,0.13,45.0,3.820607301
14,30,0.87,0.13,45.0,4.400672769
12,30,0.87,0.13,45.0,4.956258379
10,30,0.87,0.13,45.0,5.469839202
8,30,0.87,0.13,45.0,5.617580875
6,30,0.87,0.13,45.0,5.044790221
4,30,0.87,0.13,45.0,2.838640532
2,30,0.87,0.13,45.0,0.044322696
50,35,0.84,0.16,45.0,1.432286539
40,35,0.84,0.16,45.0,1.756252115
30,35,0.84,0.16,45.0,2.418855602
20,35,0.84,0.16,45.0,4.429781731
18,35,0.84,0.16,45.0,5.034955125
16,35,0.84,0.16,45.0,5.96720585
14,35,0.84,0.16,45.0,7.181814113
12,35,0.84,0.16,45.0,8.159911447
10,35,0.84,0.16,45.0,9.063252749
8,35,0.84,0.16,45.0,8.285707579
6,35,0.84,0.16,45.0,5.012879942
